column,category_name,description
CC,증상,"환자가 호소하는 주요 증상으로 통증, 불편감, 관절음, 개구제한 등이 포함됩니다. 증상의 위치, 정도, 양상, 지속시간 등을 상세히 기록합니다."
CC,병력,"턱관절장애 관련 과거 병력, 치료 이력, 발병 시기 및 계기 등을 포함합니다. 교정 치료, 외상, 수술 등이 언급되는 경우가 많습니다."
CC,습관 및 생활 패턴,"이갈이, 이악물기, 편측저작 등의 구강악습관과 수면, 스트레스 정도 등 생활 습관을 포함합니다. 식이 습관, 자세 등도 언급됩니다."
CC,치료 계획 및 경과,"물리치료, 약물요법, 장치치료, 보톡스 주사 등 계획된 치료 방법과 치료 경과 및 반응을 포함합니다. 치료 계획 변경, 추가 검사 등도 언급됩니다."
CC,영상 검사 결과,"파노라마, 측두하악관절 방사선 사진, CT 등 영상 검사 결과에 대한 판독 소견을 포함합니다. 골 변화, 관절원판 위치 이상 등을 언급합니다."
약,복용 완료,처방된 약을 모두 복용하고 남은 약이 없는 경우
약,일부 복용,처방된 약을 일부만 복용하고 남은 약이 있는 경우
약,복용 중단,"약을 복용하다가 중단한 경우로, 증상 호전, 부작용, 깜빡 잊음 등의 이유로 복용을 중단함"
약,미복용,처방받은 약을 전혀 복용하지 않은 경우
약,기타,"다른 약 복용, 약국 처방 등 처방 외의 약을 복용한 경우나 복용 여부가 불명확한 경우"
장치 ,착용 빈도,"장치 착용 빈도를 나타냄 (예: 매일, 격일, 주 3회 등)"
장치 ,착용 불편감,"장치 착용 시 불편감 여부 (예: 불편감 없음, 불편감 있음, 통증 등)"
장치 ,미착용 영향,"장치 미착용 시 불편감이나 증상 변화 (예: 불편감 없음, 뻐근함, 치아 통증 등)"
장치 ,밴드 사용 여부,"입술 밴드 사용 여부 (예: 사용함, 사용 안 함)"
장치 ,기타 특이사항,"장치 관련 기타 특이사항 (예: 장치 헐거워짐, 장치 파손, 치료로 인한 미착용 등)"
습관,딱딱하고 질긴 음식 섭취 제한,딱딱하거나 질긴 음식을 피하거나 제한적으로 섭취하려는 습관
습관,치아 접촉 최소화,위아래 치아가 닿지 않도록 의식적으로 힘을 빼려는 습관
습관,음식물 섭취 방식 변화,음식을 잘게 잘라 먹거나 특정 치아로 씹는 등 섭취 방식을 바꾸는 습관
습관,수면 중 이갈이,잠들어 있을 때 무의식중에 이를 꽉 물거나 갈게 되는 습관
찜질 ,찜질 빈도,"찜질을 하는 빈도를 나타냅니다. 예: 매일, 주 2-3회, 격일, 주 1회 등"
찜질 ,찜질 시간,"찜질을 하는 시간을 나타냅니다. 예: 5분, 10분, 20분, 30분 이상 등"
찜질 ,찜질 방법,"찜질을 하는 방법을 나타냅니다. 예: 온찜질, 냉찜질, 온수찜질, 찜질팩 사용 등"
찜질 ,찜질 도구,"찜질에 사용되는 도구를 나타냅니다. 예: 찜질팩, 물주머니, 저주파자극기 등"
찜질 ,찜질 수행 여부,"찜질을 했는지 안 했는지를 나타냅니다. 예: 했음, 안 했음, 못했음 등"
"마사지, 스트레칭",매일,마사지와 스트레칭을 매일 하는 경우
"마사지, 스트레칭",주 2-3회,마사지와 스트레칭을 일주일에 2-3번 정도 하는 경우
